monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,txn_intensity,savings_commitment_ratio,airtime_stability,no_prior_loan_flag
17,54.71,-0.269,14,2.94,1,19.0,33.59,1,0.641,2.4,56.0,92.0,10,224.32,4,11.6198,0.6029,0.196,0
18,36.25,-0.265,10,1.64,0,3.0,0.0,0,,,40.0,77.0,8,673.36,24,10.652,0.0,0.1491,1
17,27.48,0.745,11,3.17,0,6.0,0.0,1,0.449,25.9,14.0,74.0,9,202.29,12,9.6804,0.0,0.2642,0
20,40.62,0.14,13,2.18,0,5.0,0.0,1,0.928,1.6,39.0,78.0,3,297.35,12,11.3517,0.0,0.1557,0
6,28.07,-0.253,20,1.22,1,21.0,19.64,0,,,44.0,19.0,5,131.45,12,6.5571,0.6756,0.0581,1
21,153.71,-0.797,12,2.89,1,35.0,35.16,0,,,63.0,72.0,7,129.43,8,15.5837,0.2273,0.2223,1
15,20.12,0.271,22,2.89,0,5.0,0.0,0,,,44.0,55.0,6,450.26,8,8.457,0.0,0.1257,1
24,55.23,2.078,18,4.23,1,55.0,94.32,1,0.737,0.0,40.0,78.0,6,789.6,8,12.9703,1.6774,0.2226,0
21,39.22,0.949,13,6.58,1,50.0,18.03,0,,,74.0,67.0,8,572.41,8,11.4194,0.4483,0.47,1
8,57.22,-0.558,7,2.41,1,59.0,8.62,0,,,18.0,66.0,1,209.73,12,8.93,0.1481,0.3012,1
15,94.0,0.569,14,6.57,1,50.0,82.14,1,0.477,5.6,42.0,37.0,10,1320.74,24,12.626,0.8646,0.438,0
9,5.96,0.474,12,2.72,0,4.0,0.0,1,0.706,7.0,41.0,68.0,7,306.61,4,4.4674,0.0,0.2092,0
21,127.81,1.797,16,3.14,0,2.0,0.0,0,,,23.0,61.0,7,243.7,12,15.0173,0.0,0.1847,1
29,78.1,-0.484,24,2.63,0,2.0,0.0,1,0.651,6.2,50.0,60.0,6,1064.66,12,14.8657,0.0,0.1052,0
14,25.53,-0.242,10,1.94,0,5.0,0.0,0,,,34.0,61.0,4,285.91,8,8.8777,0.0,0.1764,1
35,55.45,0.74,25,3.9,1,51.0,15.85,0,,,69.0,59.0,7,223.25,8,14.4536,0.2808,0.15,1
30,40.33,0.781,20,6.38,0,3.0,0.0,0,,,63.0,52.0,6,877.85,4,12.7799,0.0,0.3038,1
3,18.31,-1.058,9,0.66,1,84.0,10.99,0,,,12.0,79.0,2,265.03,4,4.1043,0.5691,0.066,1
30,22.05,1.337,21,6.06,0,1.0,0.0,0,,,54.0,44.0,11,296.73,12,10.7747,0.0,0.2755,1
33,52.16,1.849,19,10.48,1,53.0,52.2,1,0.934,0.5,60.0,64.0,13,203.77,4,14.0113,0.9819,0.524,0
18,23.03,0.363,13,4.83,1,81.0,24.65,1,0.714,3.4,65.0,62.0,4,435.39,4,9.3613,1.0258,0.345,0
21,53.05,-0.355,14,2.63,1,78.0,17.01,0,,,49.0,43.0,5,348.74,24,12.333,0.3147,0.1753,1
10,75.74,-0.819,15,2.96,1,63.0,7.36,0,,,60.0,42.0,0,105.63,24,10.4079,0.0959,0.185,1
3,50.81,-0.864,8,1.74,1,77.0,6.58,1,0.462,11.7,19.0,89.0,0,66.3,4,5.4725,0.127,0.1933,0
10,34.26,-1.759,9,1.23,0,2.0,0.0,0,,,29.0,79.0,0,118.57,24,8.5431,0.0,0.123,1
19,27.03,0.046,16,5.62,0,13.0,0.0,1,0.54,10.8,60.0,68.0,4,154.93,24,9.9856,0.0,0.3306,0
6,18.14,-0.469,6,2.78,1,70.0,16.87,0,,,8.0,57.0,1,74.53,52,5.7439,0.8814,0.3971,1
15,90.2,1.488,19,1.06,0,1.0,0.0,0,,,68.0,41.0,6,225.11,12,12.5128,0.0,0.053,1
12,70.62,-0.807,14,3.42,0,0.0,0.0,0,,,37.0,90.0,3,772.26,12,10.9559,0.0,0.228,1
9,46.62,0.124,18,2.56,0,4.0,0.0,1,0.819,4.8,26.0,68.0,0,184.37,52,8.8955,0.0,0.1347,0
6,43.78,0.344,12,3.05,0,19.0,0.0,1,0.785,7.1,24.0,96.0,1,136.0,24,7.3979,0.0,0.2346,0
27,32.96,0.596,22,2.66,1,68.0,53.2,0,,,40.0,66.0,9,413.67,8,11.7466,1.5665,0.1157,1
13,53.54,0.36,7,2.11,0,6.0,0.0,1,0.981,12.3,7.0,28.0,5,168.63,12,10.5534,0.0,0.2638,0
14,51.99,0.171,13,1.45,1,72.0,7.0,1,0.87,10.8,84.0,44.0,6,228.7,8,10.7512,0.1321,0.1036,0
8,10.73,0.173,6,4.09,0,1.0,0.0,1,0.425,11.1,52.0,12.0,2,415.07,12,5.4099,0.0,0.5843,0
28,16.65,0.028,11,4.08,1,57.0,81.77,0,,,70.0,65.0,12,121.95,12,9.6666,4.6329,0.34,1
