region,gender,age,occupation,monthly_txn_count,avg_txn_amount_usd,wallet_balance_trend,airtime_recharge_freq,airtime_avg_amount_usd,has_savings_account,savings_consistency_score,monthly_savings_usd,has_prior_loan,prior_loan_repayment_rate,days_late_avg,network_diversity_score,bill_payment_regularity,merchant_payment_count,loan_amount_requested_usd,loan_duration_weeks,repaid
Southern Africa,Female,60,Self-employed,20,102.33,0.414,16,1.82,1,43.0,28.81,1,0.963,19.2,54.0,79.0,6,473.73,12,1
East Africa,Female,52,Self-employed,10,56.76,-0.479,14,1.76,0,14.0,0.0,1,0.552,15.9,34.0,69.0,2,121.91,8,0
Central Africa,Male,27,Salaried,4,51.68,-0.486,10,2.71,1,61.0,14.13,0,,,44.0,52.0,1,110.69,8,1
Southern Africa,Male,64,Farmer,9,29.82,-0.455,13,2.38,0,3.0,0.0,0,,,75.0,68.0,2,70.98,24,0
West Africa,Male,64,Farmer,8,37.34,-0.324,7,2.07,0,3.0,0.0,1,0.61,8.5,35.0,63.0,2,68.92,8,1
Central Africa,Male,19,Farmer,11,33.47,-0.064,11,1.51,1,14.0,21.45,1,0.708,31.8,65.0,53.0,3,322.86,8,1
Southern Africa,Male,19,Trader,8,13.09,0.23,10,1.55,1,56.0,21.04,1,0.77,9.4,63.0,48.0,5,39.0,4,1
Southern Africa,Prefer not to say,29,Salaried,28,155.49,0.025,18,2.25,0,4.0,0.0,1,0.653,9.7,25.0,89.0,10,76.43,24,1
West Africa,Male,55,Informal worker,14,81.76,0.346,13,2.84,1,70.0,19.78,1,0.599,0.8,46.0,70.0,3,45.43,8,1
East Africa,Male,46,Informal worker,20,79.33,-0.514,15,5.4,0,6.0,0.0,1,0.676,8.9,25.0,84.0,10,1369.1,4,0
East Africa,Female,42,Trader,13,82.27,0.247,17,6.22,0,7.0,0.0,1,0.162,18.7,90.0,95.0,5,270.12,24,1
Central Africa,Male,37,Trader,11,29.88,-0.538,6,3.89,1,33.0,20.06,1,0.485,0.7,33.0,45.0,2,199.85,8,1
East Africa,Male,40,Salaried,16,30.97,-0.067,18,4.32,1,57.0,30.3,0,,,35.0,13.0,6,66.83,8,1
Southern Africa,Male,47,Trader,9,30.54,0.181,7,2.8,1,33.0,29.2,0,,,38.0,43.0,1,158.74,8,1
East Africa,Female,20,Trader,20,49.78,1.02,17,3.97,1,86.0,29.38,0,,,78.0,51.0,7,217.43,4,1
West Africa,Male,45,Informal worker,5,36.6,-0.353,9,1.92,1,54.0,9.52,0,,,53.0,60.0,5,151.34,12,1
East Africa,Female,28,Informal worker,14,16.86,0.057,17,1.44,1,84.0,18.76,1,0.639,15.0,61.0,85.0,7,39.55,12,1
West Africa,Female,55,Trader,18,12.63,0.033,10,3.72,0,2.0,0.0,0,,,37.0,83.0,9,926.52,4,1
Southern Africa,Male,27,Trader,8,12.36,-1.438,7,4.59,0,1.0,0.0,1,0.901,1.1,68.0,68.0,0,189.59,4,1
East Africa,Female,21,Salaried,27,46.61,0.771,23,3.25,1,77.0,33.89,0,,,66.0,82.0,7,310.43,24,1
Southern Africa,Male,38,Self-employed,13,108.33,1.341,17,2.65,1,50.0,51.82,0,,,63.0,69.0,7,78.84,8,1
East Africa,Male,38,Farmer,10,22.07,1.06,19,4.02,0,10.0,0.0,0,,,62.0,49.0,14,274.46,8,1
Central Africa,Male,42,Salaried,17,80.99,-0.06,10,5.53,0,4.0,0.0,1,0.864,4.8,34.0,83.0,3,166.33,24,1
Central Africa,Prefer not to say,58,Farmer,16,27.39,-0.128,15,3.16,0,3.0,0.0,1,0.717,4.4,44.0,35.0,7,253.99,4,1
Southern Africa,Male,50,Informal worker,18,42.51,-0.165,17,4.22,1,83.0,38.64,0,,,11.0,53.0,4,317.13,24,1
West Africa,Male,35,Informal worker,12,34.8,0.108,12,2.81,0,8.0,0.0,1,0.681,33.0,33.0,75.0,1,137.4,12,0
East Africa,Female,52,Salaried,16,48.35,0.074,15,2.45,0,12.0,0.0,0,,,28.0,62.0,2,148.97,8,1
West Africa,Male,41,Salaried,12,47.98,-1.137,11,2.44,0,19.0,0.0,0,,,13.0,42.0,2,397.45,8,0
West Africa,Female,28,Trader,32,13.71,0.964,22,2.38,0,3.0,0.0,0,,,51.0,97.0,7,331.28,12,1
Southern Africa,Female,19,Trader,15,127.5,0.19,16,6.24,0,6.0,0.0,1,0.505,18.7,65.0,59.0,5,165.26,4,1
Southern Africa,Female,18,Salaried,13,59.55,-0.207,14,3.47,0,0.0,0.0,1,0.737,2.9,15.0,59.0,2,146.96,24,0
Central Africa,Female,28,Trader,19,27.03,0.046,16,5.62,0,13.0,0.0,1,0.54,10.8,60.0,68.0,4,154.93,24,0
West Africa,Female,56,Informal worker,11,45.11,-0.821,13,2.28,1,37.0,21.77,1,0.723,6.6,41.0,69.0,3,241.24,4,1
East Africa,Male,39,Farmer,5,63.45,0.591,12,1.77,1,62.0,11.36,1,0.831,13.4,39.0,19.0,5,43.14,4,1
East Africa,Prefer not to say,39,Trader,28,490.78,-0.357,24,1.8,1,40.0,22.9,1,0.753,2.6,45.0,44.0,11,589.44,8,1
West Africa,Female,36,Informal worker,10,69.71,-0.113,16,2.13,1,67.0,12.82,0,,,38.0,73.0,4,606.09,52,1
West Africa,Female,30,Farmer,9,27.82,-0.272,11,2.08,1,72.0,12.78,1,0.532,0.4,26.0,62.0,2,64.8,4,1
East Africa,Female,51,Salaried,20,37.16,-0.279,7,2.02,0,5.0,0.0,1,0.702,40.1,80.0,27.0,6,232.69,8,0
West Africa,Female,18,Trader,20,37.17,0.622,24,3.11,0,18.0,0.0,0,,,36.0,73.0,11,221.41,12,1
Southern Africa,Female,46,Trader,13,63.36,-0.864,13,1.24,0,3.0,0.0,1,0.913,5.0,29.0,86.0,0,416.95,12,0
East Africa,Male,62,Trader,22,96.03,0.176,19,3.9,0,3.0,0.0,0,,,29.0,72.0,10,154.32,24,1
Southern Africa,Male,59,Trader,7,49.66,-0.792,6,1.38,0,5.0,0.0,1,0.713,11.0,60.0,39.0,5,323.13,52,0
Southern Africa,Female,35,Informal worker,13,46.26,-0.261,6,2.94,1,68.0,9.75,1,0.659,22.1,6.0,74.0,8,1043.11,4,1
West Africa,Female,58,Farmer,10,11.6,1.012,16,3.03,1,79.0,37.6,1,0.802,16.2,76.0,42.0,9,1188.51,8,1
Southern Africa,Male,29,Trader,41,42.07,0.916,16,2.57,0,0.0,0.0,1,0.955,9.9,69.0,61.0,9,231.27,12,0
Southern Africa,Male,29,Self-employed,12,6.15,-0.999,9,4.3,0,9.0,0.0,1,0.955,1.0,24.0,66.0,4,237.83,4,1
East Africa,Female,34,Trader,17,52.96,-0.241,6,3.58,1,92.0,31.79,1,0.806,13.4,45.0,77.0,7,373.13,4,1
West Africa,Male,18,Farmer,24,28.01,-0.068,13,1.9,1,50.0,14.04,1,0.617,22.3,62.0,58.0,6,798.15,12,1
Southern Africa,Prefer not to say,30,Salaried,15,40.91,-0.439,9,1.38,0,4.0,0.0,0,,,19.0,86.0,2,141.7,12,1
West Africa,Female,58,Informal worker,26,80.1,0.657,20,6.16,1,72.0,30.89,1,0.732,1.8,52.0,78.0,11,995.88,12,0
West Africa,Male,53,Farmer,15,149.03,0.843,11,4.52,1,37.0,17.19,1,0.961,7.4,67.0,23.0,1,444.52,12,1
West Africa,Male,33,Self-employed,11,20.21,-1.356,11,1.64,0,1.0,0.0,1,0.344,26.2,72.0,79.0,1,198.39,4,1
Southern Africa,Female,32,Farmer,11,39.27,0.376,11,4.68,1,50.0,37.13,0,,,37.0,47.0,5,408.88,12,0
Southern Africa,Male,34,Trader,37,36.61,-0.67,18,3.67,0,6.0,0.0,0,,,60.0,73.0,14,366.03,24,0
Southern Africa,Female,23,Trader,10,27.78,0.31,15,4.45,0,0.0,0.0,0,,,46.0,74.0,6,597.7,24,1
Southern Africa,Male,25,Self-employed,19,42.1,-0.366,13,4.54,0,9.0,0.0,0,,,46.0,80.0,7,299.84,8,1
East Africa,Male,64,Trader,17,31.59,0.331,13,1.12,1,38.0,12.45,1,0.941,41.9,22.0,92.0,2,374.9,12,1
East Africa,Male,50,Salaried,22,70.71,1.477,28,3.33,0,5.0,0.0,1,0.722,0.5,44.0,72.0,7,229.59,8,1
West Africa,Female,49,Trader,12,16.35,-0.054,11,1.13,1,93.0,9.67,0,,,42.0,89.0,5,260.78,12,1
West Africa,Prefer not to say,31,Trader,15,16.08,0.56,11,2.05,1,72.0,31.15,1,0.492,1.4,20.0,77.0,4,124.36,8,1
Southern Africa,Female,58,Salaried,26,60.64,0.541,8,1.25,0,8.0,0.0,0,,,59.0,84.0,6,408.05,8,1
